Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 79626240, 659392, 81563956, 80904564, 133516, 2312893, 319
1, 79626240, 660392, 81564956, 80904564, 133516, 13794, 319
2, 79626240, 659356, 89748188, 89088832, 133516, 2312893, 319
3, 79626240, 660356, 89749188, 89088832, 133516, 13794, 319
4, 79626240, 659308, 97930800, 97271492, 133516, 2312893, 319
5, 79626240, 660308, 97931800, 97271492, 133516, 13794, 319
6, 79626240, 659260, 106110820, 105451560, 133516, 2312893, 319
7, 79626240, 660260, 106111820, 105451560, 133516, 13794, 319
8, 79626240, 659176, 114290180, 113631004, 133516, 2312893, 319
9, 79626240, 660176, 114291180, 113631004, 133516, 13794, 319
10, 79626240, 659068, 122468748, 121809680, 133516, 2312893, 319
11, 79626240, 660068, 122469748, 121809680, 133516, 13794, 319
12, 79626240, 658960, 130642804, 129983844, 133516, 2312893, 319
13, 79626240, 659960, 130643804, 129983844, 133516, 13794, 319
14, 79626240, 658852, 138811916, 138153064, 133516, 2312893, 319
15, 79626240, 659852, 138812916, 138153064, 133516, 13794, 319
16, 79626240, 658612, 146975964, 146317352, 133516, 2312893, 319
17, 79626240, 659612, 146976964, 146317352, 133516, 13794, 319
18, 79626240, 658288, 155134912, 154476624, 133516, 2312893, 319
19, 79626240, 659288, 155135912, 154476624, 133516, 13794, 319

