Step, Memory, Heap, Allocated, Reclaimed, Live, Mutator, Collector
0, 65732608, 65565876, 65565876, 0, 0, 2149, 261
1, 131268608, 131108752, 196674756, 25456, 65540548, 66243818, 221604633
2, 262340608, 196648456, 393323348, 52468, 131081876, 66309212, 443209247
3, 262406144, 262222364, 458897256, 52468, 131081876, 66270834, 261
4, 524550144, 327718032, 786615424, 109104, 262165864, 66442219, 886431627
5, 524550144, 393302732, 852200124, 109104, 262165864, 65927710, 261
6, 524550144, 458855036, 917752428, 109104, 262165864, 66699370, 261
7, 917831680, 524336820, 1442089384, 179624, 458784652, 65927644, 1551187164
8, 917831680, 589938064, 1507690628, 179624, 458784652, 65932416, 261
9, 917831680, 655490548, 1573243112, 179624, 458784652, 67087418, 261
10, 917831680, 655491112, 1573243676, 179624, 458784652, 65930008, 261
11, 917831680, 655491676, 1573244240, 179624, 458784652, 1330066, 261
12, 917831680, 655492240, 1573244804, 179624, 458784652, 1330044, 261
13, 917831680, 655492804, 1573245368, 179624, 458784652, 1330044, 261
14, 917831680, 655493368, 1573245932, 179624, 458784652, 1330044, 261
15, 917831680, 655493724, 1573246288, 179624, 458784652, 1330044, 261
16, 917831680, 721059392, 1638811956, 179624, 458784652, 6547, 261
17, 917831680, 131108752, 1769921024, 655698784, 458784652, 66239855, 221597633
18, 917831680, 196648456, 1966569800, 655725980, 458784652, 66312147, 443195247
19, 917831680, 262222548, 2032143892, 655725980, 458784652, 66273747, 261
20, 917831680, 327718032, 2359862244, 655782984, 458784652, 66445125, 886403627
21, 917831680, 393302916, 2425447128, 655782984, 458784652, 65930629, 261
22, 917831680, 458855404, 2490999616, 655782984, 458784652, 66702289, 261
23, 917831680, 524336820, 3015336756, 655854056, 458784652, 65930563, 1551145157
24, 917831680, 589938068, 3080938004, 655854056, 458784652, 65932971, 261
25, 917831680, 655490556, 3146490492, 655854056, 458784652, 67087973, 261
26, 917831680, 721043044, 3212042980, 655854056, 458784652, 65930563, 261
27, 1442185216, 786497152, 3998540452, 655952584, 720944836, 65930563, 2437540984
28, 1442185216, 852122856, 4064166156, 655952584, 720944836, 65935341, 261
29, 1442185216, 917675524, 4129718824, 655952584, 720944836, 67668893, 261
30, 1442185216, 983228192, 4195271492, 655952584, 720944836, 65932905, 261
31, 1442185216, 1048780860, 4260824160, 655952584, 720944836, 65932905, 261
32, 1442185216, 1114333528, 4326376976, 655952584, 720944836, 65932905, 261
33, 2228682752, 1179737428, 5506114936, 656101532, 1114185112, 65935277, 3767078708
34, 2228682752, 1245399904, 5571777412, 656101532, 1114185112, 65940085, 261
35, 2228682752, 1310952932, 5637330440, 656101532, 1114185112, 68541491, 261
36, 2228682752, 1376505960, 5702883468, 656101532, 1114185112, 65937649, 261
37, 2228682752, 1442058988, 5768436496, 656101532, 1114185112, 65937649, 261
38, 2228682752, 1507612016, 5833989524, 656101532, 1114185112, 65937649, 261
39, 2228682752, 1573165044, 5899542552, 656101532, 1114185112, 65937649, 261
40, 2228682752, 1573166152, 5899543660, 656101532, 1114185112, 65937649, 261
41, 2228682752, 1573167260, 5899544768, 656101532, 1114185112, 3185707, 261
42, 2228682752, 1573168368, 5899545876, 656101532, 1114185112, 3185707, 261
43, 2228682752, 1573169476, 5899546984, 656101532, 1114185112, 3185707, 261
44, 2228682752, 1573170584, 5899548092, 656101532, 1114185112, 3185707, 261

